,,,,,,,,,,,,,,,,,,,,,,
,Liquor Store,0,0,0,0,0,0,0,0,130,225,110,136,172,165,140,172,166,151,118,94,119
,Dentists Office,0,0,0,0,0,0,0,0,0,90,117,158,178,160,139,146,147,153,116,78,114
,Chiropractors,0,0,0,0,0,0,0,0,0,0,0,120,283,306,330,317,300,303,233,159,263
,Recruitment Agency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,225,302,245,172,270
,Advertising Agency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252
,Dockside Warehouse,0,0,0,0,0,0,0,0,0,86,251,207,187,122,94,112,163,172,191,163,45
,Farm Storage Unit,0,0,0,0,0,0,0,0,0,76,211,213,169,126,108,128,173,183,182,165,36
,Shipyard,0,0,0,0,0,0,0,0,0,94,252,195,180,104,107,89,150,183,175,140,57
,Printing Works,0,0,0,0,0,0,0,0,0,0,76,172,163,88,120,119,167,175,165,141,47
,Brewery,0,0,0,0,0,0,0,0,0,0,0,24,200,183,221,212,307,340,349,324,87
,Truckyard,0,0,0,0,0,0,0,0,0,0,0,0,0,36,164,221,306,339,404,296,96
,Old Factory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,297,350,362,304,90
,Slaughterhouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,245,383,283,107
,Paper Mill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,639,186
,Foundry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,172
,Fertilizer Plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219
,,,,,,,,,,,,,,,,,,,,,,
,Distribution of scouted targets by location and skill level,,,,,,,,,,,,,,,,,,,,,
,Target,Skill level (max),,,,,,,,,,,,,,,,,,,,
,,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,99,100
,Any (residential),"1,571","1,270","1,398","1,735","1,668","1,322","1,426","1,829","1,666","1,791","1,789","1,804","1,969","2,411","2,821","2,848","2,372","2,265","2,328","2,195","1,517"
,Any (commercial),0,0,0,0,226,863,861,"1,002","1,127","1,111",671,"1,032","1,328","1,302","1,190","1,352","1,516","1,526","1,169",836,"1,507"
,Any (industrial),0,0,0,0,0,0,0,0,0,256,790,811,899,659,814,990,"1,597","1,987","2,584","2,790","1,142"
,Tool Shed,20.2%,19.1%,16.0%,12.8%,12.4%,9.7%,8.6%,8.6%,6.9%,5.4%,4.2%,5.0%,5.1%,4.1%,4.9%,4.5%,4.3%,4.0%,3.9%,3.9%,3.3%
,Beach Hut,21.3%,18.8%,14.4%,12.9%,11.8%,9.9%,9.9%,7.2%,5.1%,5.4%,4.6%,4.9%,5.3%,4.9%,5.4%,4.1%,4.0%,4.2%,3.7%,4.7%,3.1%
,Bungalow,22.8%,16.3%,14.8%,13.4%,11.5%,10.4%,8.1%,7.7%,5.4%,5.7%,4.7%,4.8%,6.3%,4.8%,3.8%,3.8%,4.5%,4.5%,4.2%,3.8%,3.7%
,Mobile Home,29.8%,25.8%,21.1%,18.3%,15.7%,12.3%,11.9%,11.3%,9.7%,8.7%,7.0%,7.9%,7.0%,7.5%,7.3%,6.8%,6.3%,5.9%,5.6%,6.2%,5.1%
,Cottage,5.7%,19.9%,31.0%,26.2%,21.1%,18.8%,16.3%,14.6%,11.6%,10.8%,8.2%,9.9%,11.2%,10.5%,8.2%,8.1%,8.6%,7.8%,8.4%,8.2%,6.6%
,Apartment,0.0%,0.0%,2.6%,16.4%,21.6%,20.3%,17.6%,15.9%,13.2%,9.7%,11.1%,10.0%,8.4%,8.8%,8.3%,8.0%,8.9%,7.9%,8.9%,8.0%,7.5%
,Suburban Home,0.0%,0.0%,0.0%,0.0%,6.1%,18.0%,17.9%,14.4%,15.1%,11.2%,10.1%,10.1%,9.6%,10.7%,9.0%,7.5%,7.1%,7.6%,8.2%,8.5%,7.1%
,Secluded Cabin,0.0%,0.0%,0.0%,0.0%,0.0%,0.8%,9.7%,15.1%,12.7%,9.9%,9.4%,9.8%,9.6%,8.8%,8.8%,9.4%,9.9%,8.4%,8.8%,7.8%,7.2%
,Farmhouse,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5.1%,20.2%,20.8%,20.8%,18.7%,18.3%,18.3%,18.6%,16.4%,15.4%,17.2%,15.2%,16.9%,14.3%
,Lake House,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.4%,19.8%,19.0%,19.2%,19.3%,17.4%,15.1%,15.4%,16.3%,16.7%,16.1%,14.5%
,Luxury Villa,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.4%,8.4%,16.2%,15.6%,16.2%,16.4%,16.0%,15.2%
,Manor House,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%
,Self Storage Facility,0.0%,0.0%,0.0%,0.0%,27.9%,22.6%,17.9%,13.8%,8.9%,11.0%,9.1%,8.0%,5.6%,6.8%,5.9%,5.1%,5.1%,4.3%,4.6%,3.9%,4.9%
,Funeral Directors,0.0%,0.0%,0.0%,0.0%,23.9%,23.8%,15.8%,16.0%,11.0%,8.3%,7.3%,7.5%,7.2%,6.2%,6.0%,6.6%,5.1%,4.6%,5.6%,4.7%,4.1%
,Market,0.0%,0.0%,0.0%,0.0%,26.1%,19.2%,18.5%,15.3%,9.9%,7.9%,8.2%,7.7%,5.9%,5.1%,6.0%,6.6%,5.2%,4.6%,4.4%,6.1%,3.5%
,Postal Office,0.0%,0.0%,0.0%,0.0%,22.1%,20.6%,18.7%,14.4%,13.3%,8.6%,8.3%,7.2%,7.3%,7.5%,4.7%,5.0%,5.5%,4.9%,5.6%,5.3%,4.4%
,Cleaning Agency,0.0%,0.0%,0.0%,0.0%,0.0%,13.8%,27.3%,27.0%,23.2%,17.8%,18.3%,14.6%,12.9%,13.3%,13.4%,10.4%,12.3%,10.4%,10.1%,8.7%,8.4%
,Barbershop,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.9%,13.6%,22.2%,18.0%,14.9%,14.9%,13.5%,12.5%,12.9%,12.6%,11.5%,11.7%,8.7%,11.1%,7.2%
,Liquor Store,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.5%,20.3%,16.4%,13.2%,13.0%,12.7%,11.8%,12.7%,10.9%,9.9%,10.1%,11.2%,7.9%
,Dentists Office,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,8.1%,17.4%,15.3%,13.4%,12.3%,11.7%,10.8%,9.7%,10.0%,9.9%,9.3%,7.6%
,Chiropractors,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.6%,21.3%,23.5%,27.7%,23.4%,19.8%,19.9%,19.9%,19.0%,17.5%
,Recruitment Agency,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,6.7%,14.8%,19.8%,21.0%,20.6%,17.9%
,Advertising Agency,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,16.7%
,Dockside Warehouse,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.6%,31.8%,25.5%,20.8%,18.5%,11.5%,11.3%,10.2%,8.7%,7.4%,5.8%,3.9%
,Farm Storage Unit,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,29.7%,26.7%,26.3%,18.8%,19.1%,13.3%,12.9%,10.8%,9.2%,7.0%,5.9%,3.2%
,Shipyard,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,36.7%,31.9%,24.0%,20.0%,15.8%,13.1%,9.0%,9.4%,9.2%,6.8%,5.0%,5.0%
,Printing Works,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,9.6%,21.2%,18.1%,13.4%,14.7%,12.0%,10.5%,8.8%,6.4%,5.1%,4.1%
,Brewery,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.0%,22.2%,27.8%,27.1%,21.4%,19.2%,17.1%,13.5%,11.6%,7.6%
,Truckyard,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5.5%,20.1%,22.3%,19.2%,17.1%,15.6%,10.6%,8.4%
,Old Factory,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.0%,18.6%,17.6%,14.0%,10.9%,7.9%
,Slaughterhouse,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.1%,12.3%,14.8%,10.1%,9.4%
,Paper Mill,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.4%,22.9%,16.3%
,Foundry,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.0%,15.1%
,Fertilizer Plant,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,19.2%
